,2275844: How did you use GenAI in the preparation of your report? List all use-cases as a series of dot-points with short explanations of how you used it.,2298314: How did you use GenAI in the preparation of your report? List all use-cases as a series of dot-points with short explanations of how you used it.,2298340: How did you use GenAI in the preparation of your report? List all use-cases as a series of dot-points with short explanations of how you used it.
37,"1. Use to rewrite my writing since my writing is not academic/professional enough. ChatGPT can generate academic/professional writing easily.

2. Summarise papers. ChatGPT Is used as like a searching tool for the information in the papers.

3. Ask general questions like how is green steel produced, however it is not always trustworthy.

4. Generate code according to the description.

5.  Ask ChatGPT to spot any mistakes in my writing, and output the errors in a tabular format so I can improve my writing.","Paraphrase

Answer questions that are not so technical, for example, how does water desalination work","Paraphrase
Recommendation"
38,"Search engine: very useful to get an elementary understanding about new things, or search the specific information (but not reliable enough even for GPT 4o).

Translating between English and Chinese.

Reversing/Editing the draft.","* Get a quick understanding of the work.

* Obtain the information/links I need.

* Translation and grammar check.

* Do some simple calculations.

* Generate VBA codes.","* Get a quick understanding for unfamiliar knowledge.

* Generate the report structure.

* Help me finish the report step by step.

* Analyzing the files feed to it."
39,"* Primarily used GenAI for early learning of content related to green steel production and various technologies. 

* When writing the report I asked it occasionally for rephrasing of complex sentences, whereby I usually identified that what I had initially fed it was not clear enough in meaning, so this would help me reconceptualise the sentence.

* I sometimes asked it to suggest financial jargon to me for concepts that I was trying to explain, e.g. eco-labelling premium, premium tolerance/demand elasticity. 

* I can't recall ever copying whole sentences, they were often too verbose, and the effort required to get ChatGPT to refine it was not worth it.","I don't recall copying much word for word.

* Discussed mainly the function of different equipment options with ChatGPT. For example, how colder inlet temperature might benefit a TSA unit, and how the regeneration cycle occurs.

* Clarifying understanding technical jargon, for example, types of solar tracking in the calculation tool (single axis)

* Used ChatGPT to edit VBA code sourced through an online forum, to fix some variable input parameters and simplify the tool.

* Used it as a quick check for unit conversions, but don't really trust it for this","Helped me write the exec summary when I had no time

I put somescreenshots of its effort at doing basic stress analysis on carbon steel endplates in the appendix and noted in the report that this was just used to inform drawing them/needs revisiting"
40,"Assisted with using gen AI to code excel macros

Very limited usage to create summaries of new topics

Created a RAG to assist with social and environmental section which got little use as my focus was not on this area",Used Chat GPT to produce latex code from a picture of handwritten calculations for inclusion in report.,I didnt
41,"* research assistance

* Background research on green DRI and the steel industry

* used to assist in estimating the capacity of the proposed DRI plant

* Calculations assistance

* Used to conduct mass and energy balances for certain reactions

* used for sanity checks so that the numbers were within acceptable ranges","* Asked general questions to determine the units of the process (fluidized bed or shaft furnace)

* asked to perform mass and energy balance calculations to cross-check with hand calculation

* VBA code generation","Information gathering

Confirmation of critical thinking"
42,"Finding statistics in journals 

re writing a paragraph 

getting quick answers to general questions","To get information quickly, double check things","-Executive Summary 

-Getting general information quickly"
43,"Chat GPT: 

* Made a group logo for our minutes form (kind of Dall-E, not sure how this would be classified)

* Made chatbot to answer questions about green DRI (minimally used)

* Dumped dotpointed ideas into Chat GTP and asked it to craft me report-style paragraphs 

* Got it to summarise the Exec Summary and then edited / re-wrote it 

* Asked for summaries of key constraints based on its training dataset 

* Got it to write Exel Macro using plain English and then pieced together differnet cod sections / got it to explain what different parts did

* Some proofreading for typos and syntax in other ppl's sections","ChatGPT trained on pre-existing environmental impact statements and then tasked with both brainstorming what should be included in the EIS, and doing the actual write-up (often from dot-points). If I felt like it was lacking, detail was often added through additional instruction provided to the trained chatbot. 

Write-up in general often done with ChatGPT, usually from dot-points. 

 

Unsuccessful attempted uses: 

* drafting neat equations for insertion into the report. Definitely possible I just didn't spend the time to get the knack of it

* Alphabetising references (it would delete some, so it was easier to just use a free website to organise them).","Often dot pointing things that i wanted to include and getting an academic language bot to draft / synthesise the report. 

Trained a GPT on a suite of academic papers to parse and interpret information about deox units 

Would sometimes ask GPT to brainstorm ideas for a section"
44,"* Research - starting point for what topics to research, and broad summaries of topics to guide my more detailed research

* Intial drafting of sections - providing my research in dot points and using chat GPT to provide an initial draft

* Providing summaries of reports, websites and source materials","Initial thought generation and planning

preliminary research

providing background information on topics adjacent to material that I needed an understanding of

initial drafting of sections of writing","Providing initial summaries of areas of research, drafting initial write up sections based on notes"
45,"* Drafting Reports: Assisted in writing and refining sections of feasibility reports, including introductions, summaries, and conclusion paragraphs.

* Asked it to write an introduction for a green steel feasibility - then refined this through cowriting and adding specifics

* Data Interpretation: Helped analyse and interpret data related to green hydrogen and DRI production, applying insights from uploaded documents (RAG)

* For example: I had a bunch of uploaded documents then asked what a reasonable production capacity is and it gave a range which was a good starting point for our considerations

* Technical Writing and cowriting: Provided assistance in technical writing, ensuring clarity and fluency in complex engineering topics. Asked it to write a series of dot points into a paragraph and also asked it to rewrite paragraphs to make them more concise and shorter

* Methodology Clarification: Clarified methodologies for cost estimation, such as the Lang factor method, and provided advice on the application of these methods, specifically the uncertainty in different methodologies

* Document Summarisation: Summarised and synthesised key points from technical papers, reports, and other documents related to the project. For example, uploaded sections of text from a journal article and asked it to summarise/what the key points were.

* Ideation: Asked it what factors I need to consider in financial, environment and social feasibility and then used these points to direct research and also structure the write up.

* I also used ChatGPT to provide me these above dot points: I asked it in what ways Iâ€™ve used it over the last four weeks.","* VB code: explained the macro I wanted to create, what inputs it would require to give specific outputs, also uploaded a screenshot of how I had my spreadsheet set up and got chatGPT to write a code for me. I then debugged it using chatGPT, and before running it in VB for the first time i uploaded the code and asked if it would work, to save debugging VB which seemed more complex to me given no VB experience.

* brain-dumped all of my ideas i wanted to include in a paragraph and asked chatgpt to write it up cohesively

* specifically for executive summary i asked chatGPT to write it professionally and really emphasise what an efficient and optimised process it was

* uploaded a screenshot of a series of calculations undertaken in excel and asked it to write it up/format the calculations into a table.

* asked it to make paragraphs more cohesive and concise

* asked it to tell me the names of suppliers/vendors of pieces of kit so i could look at their websites to get the data I needed 

* general questions about concepts and advantages/disadvantages of certain processes (e.g. how does cooling water perform better than seawater as a utility) so I could then be more specific in my research.","mainly paraphrasing, writing my words concisely, and fluently. 

ideation

cross checking general design first principles thinking

generating templates for spec sheets

generating templates for executive summary, conclusion, and giving ideas on what to include

doing ideal gas law calculations and conversions between units for me"
46,"* ideation/preliminary research

* pulling information from papers by creating a RAG bot

* generating a logo

* writing VBA code

* generating a draft of an executive summary for our report 

* shortening some sections of text","* very preliminary ideation

* small sections of text generation for sections that required little technical knowledge","* some very small text generation for simple, mostly non-technical, passages of writing

* advice on how to do certain things using excel

* Getting a general understanding or first impression of a topic"
47,,"Provide ideas and reference values, such as the area of â€‹â€‹the evaporation pond","When selecting deox, provide ideas and alternative materials

Provides a framework for exclusive summary

Modify the format of reference list"
